通番,問題ID,問題（日本語）,問題（英語）,正解,カテゴリ,正答率
19,B102,ブラウザに鍵マークが表示されるページは安全なウェブサイトである証なので、個人情報を入力して問題ない。,"A page that displays a key symbol in the browser is a sign of a secure website, so there is no problem entering personal information.",誤り/False,Threat > Phishing / Spam / Social engineering,0.54
20,B103,メールやウェブサイト内にあるボタンをクリックする前に、それを押すとどのURLに遷移するか確認するとより安全である。,"Before clicking on a button in an email or website, it is safer to check which URL the button will take you to.",正しい/True,Threat > Phishing / Spam / Social engineering,0.91
21,B104,身に覚えのないメールが届いた場合は、メールに記載されている配信停止のリンクから手続きを行うとよい。,"If you receive an e-mail that you do not recognize, you may simply follow the unsubscribe link in the e-mail.",誤り/False,Threat > Phishing / Spam / Social engineering,0.69
22,B105,不正なサイトがウェブ検索で上位に表示されることがあるため、クリックしないように注意する必要がある。,"Deception sites may be ranked higher in web searches, so you should be careful not to click on them.",正しい/True,Threat > Phishing / Spam / Social engineering,0.66
23,B106,送られてきたURLが本物の銀行などのものか確かめるためには、ドメインを確認することが特に重要である。,It is essential to check the domain to judge whether a URL sent to you is from an actual bank.,正しい/True,Threat > Phishing / Spam / Social engineering,0.88
24,B201,公共のパソコンでUSB経由でスマートフォンの充電をすることは、セキュリティ上のリスクがある。,Charging a smartphone via USB on a shared computer in a public space is a security risk.,正しい/True,Threat > Malware & Ransomware,0.79
25,B202,ランサムウェアによる被害を最小化するために、バックアップを定期的に取る必要がある。,It is necessary to regularly make backups to minimize the risk of damage caused by ransomware.,正しい/True,Threat > Malware & Ransomware,0.89
26,B203,使っているパソコンがランサムウェアに感染しても、データが使えなくなるだけなので適切なバックアップがあれば問題はない。,"Even if your computer is infected with ransomware, there is no problem as long as you have a proper backup, because you will only lose the use of your data.",誤り/False,Threat > Malware & Ransomware,0.74
27,B301,インターネットサービスのアカウントが乗っ取られた場合、もし同じパスワードを使い回している別のアカウントがあればすぐパスワードを変えるべきである。,"If one of your online accounts is compromised, you should change your password immediately of other accounts that use the same password.",正しい/True,Threat > Account compromise,0.96
28,B302,インターネットサービスのアカウントが乗っ取られた場合、自分の携帯電話などを用いてアカウントを復旧できる場合がある。,"If an online account is compromised, it may be possible to recover the account using your cell phone or other means.",正しい/True,Threat > Account compromise,0.66
29,B401,携帯電話を紛失した際には、携帯会社に連絡してスマートフォンを利用できない状態にしてもらうのがよい。,"If you lose your mobile phone, it is better to contact your service provider to deactivate your service.",正しい/True,Threat > Shoulder / Physical hacking,0.81
30,B402,カフェなどの公共の場所でパソコンを利用する場合は、後ろに誰も座っていない事を確認してからであれば機密情報を扱っても良い。,"When using a computer in a public place like a cafe, you may handle confidential information after you ensure that no one is sitting behind you.",誤り/False,Threat > Shoulder / Physical hacking,0.72
31,B501,古い携帯電話を処分する際、アプリと写真データを削除すればデータ漏洩の心配はない。,"When you dispose of an old mobile phone, there is no concern about data leakage if you delete the application and photo data.",誤り/False,Threat > Data breach,0.81
32,B502,企業へのデータ侵害でクレジットカードの情報が漏洩した場合、クレジットカードの番号を変えるなどの対応をするとより安全である。,"If your credit card information is compromised in a data breach against a company, it is safer to take action, such as changing your credit card number.",正しい/True,Threat > Data breach,0.9
33,B601,位置情報を利用してストーキングを行うアプリが存在する。,There are applications that use location information for the purposes of stalking.,正しい/True,Threat > Harrasment / Stoking,0.69
34,B602,たとえダイレクトメッセージであっても、自分の性的な画像などを誰かに送るのは危険である。,"It is dangerous to send sexually explicit images of yourself to anyone, even by direct message.",正しい/True,Threat > Harrasment / Stoking,0.98
35,B701,匿名掲示板では身分が明かされないので、誰かの悪口を書いても問題ない。,"Since your identity is not revealed on anonymous internet forums, there is no problem even if you use them to insult people.",誤り/False,Threat > Cyber bullying,0.94
36,B702,誹謗中傷を行ったSNSアカウントがあったとしても、その発信元を特定するのは困難である。,It is difficult to identify who owns a slander social media account.,誤り/False,Threat > Cyber bullying,0.37
37,C101,暗号化通信を行うことで、通信内容を傍受されたり改ざんされる可能性を低減できる。,"By using encrypted internet communication, the possibility of communication contents being intercepted or tampered with can be reduced.",正しい/True,Online security > Secure connection & communication,0.86
38,C102,信頼できる提供元の無線LANに接続すれば、通信内容を他人に見られる心配はない。,You don't have to worry about message content being viewed by a third party if you connect to a wireless LAN from a reliable provider.,誤り/False,Online security > Secure connection & communication,0.65
39,C103,http://...ではじまるウェブサイトに個人情報を入力するのはリスクが高い。,"Sending personal information on a website with a URL that starts with ""http://"" is at high risk.",正しい/True,Online security > Secure connection & communication,0.54
40,C201,最新版のソフトウェアは動作が不安定なことがあるので、少し期間を置いてからアップデートをした方が安全である。,"The latest version of software may be unstable, so it is safer not to immediately update.",誤り/False,Online security > Software Update,0.3
41,C202,サポート期間の過ぎたソフトウェアであっても、問題なく動作するものは使い続けて問題ない。,It is okay to continue using end-of-life software if it works without problems.,誤り/False,Online security > Software Update,0.57
42,D101,近年のAI技術により、他人になりすました動画を容易に作成することができる。,"With recent AI technology, you can easily create videos impersonating others.",正しい/True,Fake > Deep fake & Disinformation,0.87
43,D102,ある有名人の発言が、動画としてSNSで拡散されていた。動画なので、間違えなくその有名人が発言したものだと判断できる。,"A statement made by a celebrity was spread on social media as a video. Since it is a video, we can determine that the person definitely said it.",誤り/False,Fake > Deep fake & Disinformation,0.81
44,D201,SNSでは信頼できない情報が投稿されることがあるが、プロフィールに専門家と書いてあるアカウントからの投稿であれば信頼して良い。,"While untrustworthy information may spread on social media, you can trust posts from accounts that say the owner is an expert.",誤り/False,Fake > False Information,0.84
45,D202,SNSでは、複数の人が同じ情報を発信しているか確認することで、それが正しい情報だと判断できる。,"On social media, you can determine whether some information is correct by checking whether multiple people are spreading it.",誤り/False,Fake > False Information,0.75
46,D203,匿名のインターネット掲示板は気軽に投稿できるのが利点であり、間違ったことを書き込んでも問題ない。,"The advantage of an anonymous bulletin board is that users can post casually, so there is no problem writing something incorrect.",誤り/False,Fake > False Information,0.65
47,D204,匿名のインターネット掲示板には正確でない内容が投稿されていることもあるため、容易に信じることは危険である。,It is dangerous to believe contents in an anonymous bulletin board because it may be incorrect.,正しい/True,Fake > False Information,0.9
48,D205,災害が発生した際に一般人が現地の様子をSNSなどに投稿することがある。状況をいち早く共有するため、真偽が不明でも拡散するのが良い。,"When a disaster strikes, the general public may post information about the local situation on social media. It is good to spread the word even if the truth is unknown, to share the situation as quickly as possible.",誤り/False,Fake > False Information,0.72
49,D206,災害が発生した時に情報拡散する場合、政府や報道機関の投稿だけ拡散する方がよい。,"When a disaster occurs, it is better to spread only posts by the government or news agencies.",正しい/True,Fake > False Information,0.43
50,E101,ブラウザの「シークレットモード」を利用すれば、ウェブページの閲覧履歴は誰にも特定できない。,"If you use ""incognito mode"" on your browser, no one can identify which webpages you visited.",誤り/False,Literacy > Understanding for technology,0.6
51,E102,個人から得られたデータを、個人が特定できないようにして活用する、差分プライバシーという考え方がある。,Differential privacy refers to a concept in which data obtained from an individual is utilized in a manner that cannot identify that individual.,正しい/True,Literacy > Understanding for technology,0.24
52,E301,スマートフォンの利用し過ぎを防ぐために、利用する時間を決めておくことなどが有効な場合がある。,Deciding how long to use one's smartphone in advance may help to prevent overuse.,正しい/True,Literacy > Digital wellbeing,0.84
53,E302,SNSなどを過剰に使いすぎる原因の一つとして、「自分だけ情報に取り残されるかもしれない」という恐怖感があることが指摘されている。,Some experts point out that one of the causes of excessive use of social media and other social networking services is the fear that one might miss out on information.,正しい/True,Literacy > Digital wellbeing,0.83
54,E401,スマートフォンなどは使いやすさが最重要であるため、使いやすさを損ねない範囲でセキュリティ対策をすれば良い。,"Because the usability of smartphones is their most important feature, you should take security measures only as long as they do not impact usability.",誤り/False,Literacy > Users' literacy & practice,0.68
55,E402,友達や交際相手など親密な関係であれば、同じアカウントでWebサービスで利用してもプライバシー上の懸念は全くない。,"If you are in a close relationship, such as with a friend or romantic partner, there are no privacy concerns at all when you share online accounts.",誤り/False,Literacy > Users' literacy & practice,0.9
56,E501,SNSアカウントの中には、自動投稿によって意見を発信するアカウントが存在する。,There are social media accounts that use automatic posting to share opinions.,正しい/True,Literacy > SNS literacy,0.78
57,E502,SNSでは、個人情報を投稿しなければ自分の身元を特定されることはない。,"On social media, you will not be identified unless you post personal information.",誤り/False,Literacy > SNS literacy,0.75
58,E601,所属組織では私用端末からの社内ネットワークへの接続が禁止されているが、セキュリティ対策を十分にした私用端末なら接続して問題ない。,"Although an organization prohibits connection to the company network from private devices, there is no problem using a personal device with sufficient security measurements.",誤り/False,Literacy > Institution's practice/policy,0.71
59,E602,所属組織から付与されたパソコンは十分にセキュリティ対策されているため、業務に関係ないページであっても業務用端末から閲覧するのが良い。,"Since computers provided by one's employer are sufficiently secured, it is better to browse pages from the device even if the page is not related to work.",誤り/False,Literacy > Institution's practice/policy,0.8
60,F101,写真をSNSに投稿する場合，位置情報を削除すれば場所を特定されることはない。,"When you post photos to social media, your location cannot be identified if you delete the location information.",誤り/False,Privacy&Data management > Selfie & Privacy share,0.69
61,F102,SNSでは、アカウントを限定公開にすれば自撮り写真などを公開してもプライバシー上問題ない。,"If you make a social media account with strict privacy settings, there is no problem with privacy, even if you post selfies.",誤り/False,Privacy&Data management > Selfie & Privacy share,0.86
62,F103,匿名での投稿でも、身元を特定される可能性がある。,Even authors of anonymous posts may be identified.,正しい/True,Privacy&Data management > Selfie & Privacy share,0.8
63,F104,限定公開のSNSアカウントであっても、他人の写真を掲載することはプライバシー上のリスクがある。,Posting photos of other people to social media can pose a risk to their privacy even if your account is private.,正しい/True,Privacy&Data management > Selfie & Privacy share,0.96
64,F105,「乗っている電車が遅延している」といったSNSへの投稿から住んでいるところなどを特定される可能性がある。,"Posts on social media such as ""The train I'm on is delayed,"" could lead to identification of where you live, etc.",正しい/True,Privacy&Data management > Selfie & Privacy share,0.86
65,F201,インターネットに掲載された情報は、数十年といった長期間にわたり残る場合がある。,"Information posted on the Internet may remain available for an extended period, even decades later.",正しい/True,Privacy&Data management > Decaying,0.98
66,F202,Webページなどを削除しても、インターネットアーカイブとして保存されている場合がある。,"Even if you delete a web page, it may be stored as an internet archive.",正しい/True,Privacy&Data management > Decaying,0.87
67,F301,オンラインの文書作成ツールで作った文書は外部に公開されることはない。,Documents created with online document creation tools are never publicly available.,誤り/False,Privacy&Data management > Access control,0.71
68,F302,オンラインのサービスで作った文書は、検索によって他人に見られてしまうことがある。,Others may be able to find your documents created with online services by searching.,正しい/True,Privacy&Data management > Access control,0.63
69,F401,アプリをインストールした際に権限を求める通知が出ることがあるが、アプリの利用に必要なため、無条件に許可してよい。,"When you install an application, you may receive notifications asking for permissions, but you can grant it unconditionally because it is necessary to use the application.",誤り/False,Privacy&Data management > Application grant,0.6
70,F402,スマートフォンのアプリケーションを利用する際に権限を求める通知が出るが、利用するために必須な権限であるとは限らない。,"When you start using a new smartphone application, a notification asking you to grant various permissions may appear. However, these permissions are not always essential to use the application.",正しい/True,Privacy&Data management > Application grant,0.84
71,F501,Web会議ツールでバーチャル背景機能を用いることで、プライバシー上の懸念を低減できる。,You can reduce privacy concerns by using the virtual background function in web conferencing tools.,正しい/True,Privacy&Data management > Surveillance / Invasion,0.61
72,F502,たとえ家族や友人のものでも、他人のスマートフォンを許可なく利用してはいけない。,You should not use others' smartphones without permission even if they belong to your family or friends.,正しい/True,Privacy&Data management > Surveillance / Invasion,0.92
73,F601,自ら設定しない限り、スマートフォンのデータがクラウドストレージに共有されることはない。,Smartphone data is only ever shared in cloud storage if you set it up yourself.,誤り/False,Privacy&Data management > Cloud,0.62
74,F602,パソコンなどのデータを削除した場合でも、気づかないうちにクラウドストレージに複製が残っている可能性がある。,"Even if data on a computer or other device is deleted, a duplicate may remain in cloud storage without the user being aware of it.",正しい/True,Privacy&Data management > Cloud,0.89
75,G101,Cookieには個人が特定できる情報が含まれ、サイト管理者に送られる。,Cookies contain information that can identify a person and are sent to the site administrator.,誤り/False,Data collection > Infer & Personalization,0.18
76,G102,Webサービスの中には、ユーザがクリックしたリンクや滞在時間などを収集し、ユーザに最適化するために利用しているものもある。,"Some web services collect links clicked by users, time spent, etc., and use this information to optimize the service for the user.",正しい/True,Data collection > Infer & Personalization,0.94
77,G201,Cookieはターゲティング広告などに活用される。,Cookies are used for targeting ads.,正しい/True,Data collection > Ads,0.83
78,G202,ウェブブラウザでの検索内容が、表示される広告の内容に反映される場合がある。,Words you search for using your web browser may be reflected in the content of advertisements.,正しい/True,Data collection > Ads,0.99
79,G301,Webサービスで利用規約を表示されることがあるが、同意しないとサービスを利用できないので、読まずに同意しても問題ない。,"Terms of use may be displayed on a web service, but you cannot use the service unless you agree to them, so there is no problem if you agree to them without reading them.",誤り/False,Data collection > Consent & Transparency,0.79
80,G302,Webサービスを利用している際に、データ収集などの同意が求められることがあるが、収集に同意しなくても使い続けられる場合もある。,"When using a Web service, the user may be asked to consent to data collection or other actions, but there are cases where the user can continue to use the service without consenting.",正しい/True,Data collection > Consent & Transparency,0.78
81,H101,インターネットに接続できる家電であっても、接続先が決まっているのでハッキングなどの懸念は少ない。,"Even for home appliances connected to the Internet, there are few concerns about hacking because the connection destination is fixed.",誤り/False,Sensing & IoT > IoT security,0.54
82,H102,自宅の監視カメラなどに不正にアクセスされることで、プライベートな映像が漏洩する危険性がある。,There is a risk of private images being leaked through unauthorized access to home surveillance cameras and other devices.,正しい/True,Sensing & IoT > IoT security,0.87
83,H201,スマートスピーカーは、待機中にもプライベートな情報を収集している場合がある。,Smart speakers may be collecting private information when idle.,正しい/True,Sensing & IoT > IoT privacy collection,0.67
84,H202,スマートスピーカーが収集した音声データは、スピーカーの製造者などに送られることは絶対にない。,Voice data collected by smart speakers is never sent to the manufacturer of the speaker or to other parties.,誤り/False,Sensing & IoT > IoT privacy collection,0.67
85,H301,スマートウォッチが収集するデータは自分以外にとって価値はないので、漏洩してもリスクは少ない。,"The data collected by a smartwatch has no value except to you, so there is little risk even if it leaks.",誤り/False,Sensing & IoT > Healthcare,0.85
86,H302,スマートウォッチなどで取得されたデータの中には個人の特定につながる生体情報もあるため、他人と共有する場合には注意するべきである。,"Some of the data acquired by smartwatches and other devices may include biometric information that can lead to personal identification, so you should be careful when sharing such data.",正しい/True,Sensing & IoT > Healthcare,0.91
87,I101,選択肢の並び方や表示内容によって、意図的に回答や行動を誘導するWebページが存在する。,There are web pages that intentionally guide users' answers and actions by changing the choices and content that are displayed.,正しい/True,Interface > Dark Pattern,0.74
88,I102,意図的に回答を誘導するようなアンケートフォームが存在するため、選択肢を注意深く読むことが重要である。,"It is essential to read the choices of online survey forms carefully, as some of them intentionally lead the user to a specific option.",正しい/True,Interface > Dark Pattern,0.94
89,I301,ウイルス対策ソフトの警告は誤って出ることもあるので、以前問題なく閲覧できたサイトであれば警告が出ても無視して良い。,"Warnings from antivirus software can be erroneous, so you can ignore alerts if you have visited a site without any problem.",誤り/False,Interface > Warning / Alert,0.72
90,I302,ウェブサイトを閲覧中に、サイト内で「ウイルスが検出されました」などの警告が表示された場合、画面の指示に従って操作を進めるべきである。,"If you receive a warning like ""A virus has been detected on your computer"" from a website, you should follow the instructions on the site to solve the problem.",誤り/False,Interface > Warning / Alert,0.91
